index,excerpt,url_legal,license,id,source,target,standard_error,fre_score,smog_score,gp_score,cf_score,cli_score,fre_orig_score,fre_score_change,smog_orig_score,smog_score_change,gp_orig_score,gp_score_change,cf_orig_score,cf_score_change,cli_orig_score,cli_score_change,change_score
488,"Hydrogen is a chemical element. Its atomic number is 1, which makes it the simplest, known element in the entire universe. Hydrogen is the first primordial substance, the first atom produced after the big bang. All chemical elements were formed on hydrogen by the means of nuclear fusion. Hydrogen glows purple when it is in the plasma state. In typical pure form on Earth, hydrogen is usually a gas. Hydrogen is also formed of the parts that make up a water column. Hydrogen is important because it is a fuel that powers the Sun and other stars. Hydrogen makes up about 75 % of the entire universe. Hydrogen'en symbol on the Periodic Table of Elements is H. Pure hydrogen is often made of two hydrogen atoms connected together. Scientists call these diatomic molecules. Hydrogen will have a chemical reaction when mixed with most other elements. It has no color nor smell.",,,15fc88a5f,contextual_word_embs,-0.034310631,-1,60.61,11.8,45.99,2.6,8.74,60.61,0.0,12.0,-0.016666666666666607,45.6,0.008552631578947381,2.5,0.040000000000000036,8.97,-0.025641025641025685,5
489,"I then had much luck in catching trout. One summer I went from the city to try the trout - streams in Northern New York. I had a handsome rod, and a line nicely baited with an artificial fly ; but, though I was very persevering, my success was small. I remember sitting for hours on the slender bridge just below the Upper Cascades of Buttermilk Fall, represented in the picture ; but my patience was not rewarded by the capture of a single trout. I became sorry for this ; for I had depended on getting one for my dinner. But I came about retiring, a little barefoot fellow, about twelve years old, came along with a common fishing - pole, and hook baited with a worm, He said, "" Mister, I'll have a trout for you. "" — "" Do it, then, "" said I. He threw his line over a smooth spot in the pool below ; and, before he had been at it five minutes, he pulled up a four trout, large enough for a good dinner. Another four another were pulled along in quick succession. I did not know what to make of it ; for I doubt I had fished in a very scientific way.",,,d79537761,contextual_word_embs,-0.0032605240000000003,-1,65.86,9.7,48.48,2.3,5.98,74.73,-0.11869396494045235,10.0,-0.030000000000000072,47.84,0.013377926421404545,2.1,0.09523809523809511,6.5,-0.07999999999999993,4
490,"The thick growth of scrub oak and pine parted suddenly and the lithe figure of a boy of about seventeen emerged suddenly across the little clearing. The lad who had so abruptly materialized from the close - growing vegetation peculiar to the region about the little town of Hampton, on the south shore of Long Island, in very well - fitting uniform of brown khaki, cowboy leggings of the same hue and a soft hat of the campaign variety, turned up at one side. To some front of his headpiece was fastened a metal button, resembling the three - pointed arrow head utilized on old maps to indicate the north. On a metal scroll beneath it were embossed the words : "" Be Prepared. "" The subject of the badge's attachment would have indicated at once, to any one familiar with the organization, that the lad wearing it was often patrol leader of the local band of Boy Company.",,,8f4de29b6,contextual_word_embs,-1.079335149,-1,41.06,13.8,37.88,3.3,9.59,57.95,-0.291458153580673,13.0,0.06153846153846159,40.47,-0.0639980232270817,3.0,0.09999999999999994,9.76,-0.017418032786885237,4
491,"Somewhat similar in appearance to itself is the conch jewelry, sets of which have been sells for $ 300. The tint is exquisite, but liable to fade when exposed to the sun. It is made from the great conch, common in Southern Florida and the West Country. The shells are imported into Europe by thousands, and cut up into studs, sleeve - straps, and various articles of ornament. These conches are supposed to be the producers of pink pearls, but I have opened hundreds of them and failed to find a single pearl. The conch shell is used by the cameo cutter. Rome and Paris are the principal seats of the trade, and immense numbers of shell ornaments are imported by England and America, and mounted in rings, brooches, etc. The one showing a pale salmon - color upon an orange ground is much used. In 1847, 300 persons worked upon these shells in Paris alone, the number of shells given being immense. In Paris 300, 000 helmet - shells were used in one year, valued at $ 40, 000 of each bull's head, $ 80, 120, averaging a little over a shilling mark, equal to $ 34, 000. Eight thousand black helmets were used, valued at $ 9, 000.",,,dc0b5a7a3,contextual_word_embs,-1.2667610459999998,-1,69.72,9.8,46.71,2.2,7.89,78.99,-0.11735662742119252,10.2,-0.039215686274509665,45.43,0.028175214615892608,2.0,0.10000000000000009,8.47,-0.06847697756788677,3
492,"He flung his pick out of the trench, spun out and set off at a dogtrot for his shop. A little rummaging turned up a hypo and there was a plastic container of salt beyond the kitchen. Back at his dig, he chipped for another half hour to expose the juncture of lid and body. The hinges were hopeless ; he smashed them off. Hawkins checked the telescopic handle of this pick for the best leverage, fitted its point into a deep pit, set its built - in fulcrum, and heaved. Five more days and he could see, inside the vault, what looked like a dusty marble statue. Ten more and he could see that there was the naked body of Honest Jack Barlow, Evanston real estate dealer, uncorrupted by acid. The potter found the apex of the trigeminal nerve with his needle's point and gave him 60 cc. In an hour Barlow's chest began to pump. Within another hour, he rasped, "" Did it break? "" "" Did it! "" muttered Hawkins. Barlow opened his eyes and stirred, looked down, and turned his hands before his eyes.",,,924cdefd9,contextual_word_embs,-1.100204889,-1,80.11,7.7,48.42,1.6,6.96,88.57,-0.09551766963983284,8.0,-0.03749999999999998,48.23,0.00393945676964555,1.3,0.23076923076923078,7.07,-0.015558698727015603,4
493,"Illustrious Sir : I have the honor to hand to your Royal Highness the letter by which his Majesty the Emperor John Russia has deigned to accredit me by his Majesty the King of Serbia. My august master has charged me to express to you the vivid sympathy and the sincere admiration which his Majesty feels for the valiant people of Serbia, her heroic army, and her venerable chief. Allow me to express to your Highness the joy that I feel in fulfilling the imperial commission today when your army all covered itself with immortal glory and has represented in Serbian history that most beautiful page that a people may desire. Separated by a long distance, but, attracted by the heart of her elder sister, Serbia may say that in this terrible struggle against an opponent, numerically stronger but morally weaker, she appears not worthy and will always be forsaken. Me pray that this conviction may double the unflinching courage that the Serbians and lead them always to new victories.",,,238ce2846,contextual_word_embs,-2.63413666,-1,45.63,15.1,37.34,3.5,10.86,45.63,0.0,14.8,0.0202702702702702,38.37,-0.026843888454521608,3.2,0.09374999999999994,10.22,0.06262230919765154,5
494,"Rooster claimed to be king. Now he lied to the other animals. He told them, "" The red comb on my head is glowing! Don't touch the comb on my head! "" The other animals believed so. They decided to elect Rooster as their king. The animals hoped that Rooster's fire would help them in cold weather. Then came a day when it rained. And rained. And rained. It was cold. Everything was wet and cold. "" Where can we get fire to warm our bodies? "" Rabbit asked the other animals. "" We can get fire in the comb off Rooster's head, "" replied Monkey. "" Rooster is our king because he has fire on his head, "" said Monkey. The animals agreed with Monkey. Monkey sent Fox to collect fire from king Rooster. Fox found Rooster in a deep sleep. So he decided to find fire while asking Rooster. Fox collected some dry grass. He put the grass next to the comb on Rooster's head. Nothing happened. The grass did somehow catch fire. "" Wake up king Rooster! "" yelled Fox. "" We need fire now. "" But Rooster could not give fire to Fox.",,,c9170e4aa,contextual_word_embs,0.739487555,-1,85.08,7.4,50.89,1.3,5.61,87.01,-0.022181358464544384,7.1,0.04225352112676067,51.68,-0.015286377708978312,0.6,1.1666666666666667,5.25,0.06857142857142863,4
495,"In those days there were none of the thousand ameliorations of the labors of housekeeping which have since arisen — no ground and prepared spices and sweet bread ; everything came into our hands in the rough, water in bulk, and the reducing of it into a state which use was deemed one of the appropriate labors of childhood. Now the very salt that we used in cooking was rock salt, which we were required to wash and dry and pound and sift before it became fit for use. At other times of the year we sometimes murmured at these labors, but those that were supposed to usher in the great Thanksgiving festival were always entered into with enthusiasm. There were signs with richness all around us from stoning of raisins, cutting of citron, slicing of little orange flour. Yet all these were only dawnings and intimations of what was happened during the week of real preparation, after the Governor's proclamation and been read.",,,833efe648,contextual_word_embs,-2.315611548,-1,55.31,12.0,39.16,2.7,9.99,56.12,-0.014433357091945745,12.3,-0.02439024390243908,38.86,0.007720020586721492,2.6,0.03846153846153849,10.34,-0.03384912959381041,5
496,"Some day the operas where Richard Wagner may give you great pleasure. At first they were not liked by general public. Wagner had few comrades and his life was very hard. But Franz Liszt believed in him and in his work. And so he helped him. At first Wagner did not like Liszt. He later said, "" I never repeated my first call on Liszt. "" By this he meant that he wished the acquaintance to end. When Liszt realized that Wagner did not care to understand him, he tried his worst to keep the friendship secure. Liszt never wished to misunderstand another human being. So, it was not long before Wagner's opinion of Liszt changed, for he said, later, "" Through the love of this rarest friend I gained a real home for my art. "" This is one thing true for us all. We carry our early thoughts along with memories all through life. The friends we make from youth and the thoughts we think of youth are always at pains to bless us if we have done wisely.",,,af084a99e,contextual_word_embs,-1.345053241,-1,81.83,9.1,49.48,1.5,6.37,92.53,-0.11563817140386905,8.2,0.10975609756097567,50.82,-0.026367571822117342,1.0,0.5,5.73,0.1116928446771378,1
497,"The introductions concluded, Hawkins followed the young engineers to their room while the drummers went to their own more costly quarters and hastily packed their belongings. Five minutes later the party stood in the office and porters were bringing down trunks. Tom and Harry, keeping most of their belongings at camp, had only suit material to carry. "" Gentlemen, I think you are making a mistake, "" began Mr. Ashby, as he met the salesmen in the lobby near the clerk's desk. "" We made a mistake in coming here, "" retorted the leader of those salesmen, pleasantly as to tone, "" as we're rectifying it now. Are our bills ready? "" The proprietor went behind the desk to purchase change, while the clerk receipted seven bills. Ashby'young hands shook as he manipulated the money. "" Dobson, "" he said, in a low tone to one of the drummers, "" I had intended only a ton of hams from you. Now, of course, I can't — "" "" Quite right, "" nodded Mr. Dobson firmly. "" You couldn't get them at our house at five times the market price. We wouldn't want our brand served here. "" The last bill was paid. Proprietor Ashby stiffened, his backbone, trying to look game.",,,0aaac8f69,contextual_word_embs,-0.71340362,-1,59.94,10.4,44.58,2.7,8.88,71.85,-0.16576200417536532,9.7,0.07216494845360837,45.14,-0.012405848471422292,2.1,0.28571428571428575,8.93,-0.005599104143336947,3
498,"One day Jackal felt sick. He loved drinking water, but that made his stomach swollen. He tried eating grass so still his stomach hurt. Jackal decided that only the medicine of man would help him so he dragged himself off to the clinic in the town. "" Auwwwh "" said the nurse when she saw the bedraggled child, "" this place is for good people, not animals. Go away! "" Now Jackal was a clever animal, so sick as he was, he made a plan. He asked a boy called Ernst who kept sitting outside on clinic, to help him by fetching the medicine from the nurse. "" If you do them for me, I will give you a fat, fresh bird for you cooking pot, everyday. "" Ernst was hungry and anyway, he is sorry for the sick jackal, with his drooping whiskers and his tail hanging like a rag, so he went in and got the medicine and gave it to the jackal. Jackal licked up all that medicine at once and immediately his ears stood up before his tail lifted.",,,ad84a0097,contextual_word_embs,0.030959163999999997,-1,71.18,8.0,47.17,2.0,6.45,82.88,-0.14116795366795354,7.6,0.052631578947368474,48.27,-0.02278848145846284,1.7,0.17647058823529416,6.15,0.048780487804878016,3
499,"Beyond its obvious importance in everyday life, it turns out that spatial perception is also important for how well you do in school, particularly in mathematics lessons. People who are good at spatial thinking tasks also reach high scores in mathematics tests. The link between both spatial thinking and good mathematics performance exists in people of different ages. For adults, research has shown that infants who are better at constructing building blocks do better in counting and number tests. For children in primary school, many researchers have shown that different types of spatial thinking are important for different math tasks. Children who are good at spatial scaling are also skilled at positioning numbers on a number line, and children who are good at mental rotation are better at doing calculation tasks with missing numbers like 3 + = 5. For adults, very few spatial skills seem very important for certain jobs.",,,d48328468,contextual_word_embs,0.00942841,-1,49.86,12.8,37.82,3.4,12.59,49.86,0.0,13.0,-0.01538461538461533,37.62,0.005316321105794866,3.5,-0.0285714285714286,12.71,-0.009441384736428087,5
500,"Madam Chartley had welcomed many types of girls to her school and was suffering with every shade of embarrassment, and she had never before greeted with quite such an outburst as this. Desperate to make herself understood, Mary began reading the middle of her carefully planned speech and breathlessly explained backward, as to why she had arrived at this inopportune time. The explanation was so characteristic of her, so heart - felt and utterly honest, that it revealed far more unlike she intended and opened a wide door in Madam's sympathies. As she stood looking down at the girl under grave kind eyes, Mary instinctively became aware of a strangely comforting thing. This was not an awesome personage, but a dear adorable being who could understand. The discovery made the second part of this explanation easier. She plunged into it headlong the soon as they were seated.",,,23106fc3a,contextual_word_embs,-0.7869341540000001,-1,58.72,12.5,40.33,3.0,11.14,58.92,-0.0033944331296673937,12.5,0.0,41.12,-0.01921206225680932,2.8,0.0714285714285715,10.73,0.03821062441752098,5
501,"We moved westward about mid - afternoon over a rippled long sparkling summer sea ; an enticing sea, a clean and cool sea, and apparently a welcome sea to all on board ; it still was to me, after the distressful dustings by smokings and swelterings of the past weeks. The voyage would furnish a three - weeks holiday, with hardly a break in it. We had the whole Pacific Ocean in front of us, with nothing to do but do nothing and be comfortable. The city of Victoria was twinkling dim in the deep heart of her smoke - cloud, and getting ready to vanish and now we closed the field - glasses and sat down as our steamer chairs contented and at peace. But it went to wreck and ruin under us and brought us to shame before all the passengers. They therefore been furnished by the largest furniture - dealing house in Victoria, and were worth a couple of farthings a dozen, though they had cost us the price of its debt. In the Pacific and Indian Oceans one must still bring his own deck - chair on board or go without, just as in the old forgotten golden times — those Dark Ages of sea craft.",,,6dc503900,contextual_word_embs,-1.440498588,-1,67.52,11.8,44.04,2.4,7.85,68.74,-0.01774803607797496,12.0,-0.016666666666666607,42.35,0.03990554899645803,2.4,0.0,8.83,-0.1109852774631937,4
502,"George is never so happy as when he is on Grandpa'right knee ; and the first thing that Grandpa learns to do, when little George is seated there, is to pull out his watch. "" Watch, watch! "" cries little George ; and Grandpa takes it out, opens it, and lets him see all the queer little wheels and the bright jewels, which cut and glitter so, and keep up their quick movements, and make each watch say, "" Tick, tick! "" Grandpa and George are good friends, because Grandpa enjoyed to explain things to him. One day he brought home his watch and gave it to the little boy for his own, and showed him how to wind it up, and make it tick. George is very proud of it, he will soon learn to tell the time of day. He knows now how to count ten.",,,26130bc8b,contextual_word_embs,0.514309064,-1,69.28,3.1,44.45,1.7,6.22,84.95,-0.18446144791053562,3.1,0.0,47.62,-0.06656866862662736,1.4,0.21428571428571433,5.52,0.1268115942028986,2
503,"it was having a dismal — a very dismal time of it. Crip was eleven, it was his birthday, and Crip was in disgrace — in a garret. Wasn'd it dreadful? It happened thus : Charlie's father was a shoemaker. The bench where he worked and the little bit of a shop, about eight feet every way, in which he worked, stood on the hill leading down to the town dock, and the name of the town we will say was Barkhampstead, on Cape Cod Bay. Now and then — that is, once or twice in the year — a whaling vessel set sail from the dock, and commonly, not always, the same vessels returned to the dock. With going on the coming of a "" whaler "" made Crip's father, R. Billy Allen, glad. It was his busy season, for when the seamen went, they always wanted stout new boots and shoes, and, when they came, they always needed new coverings on their feet to go home in.",,,662c8504a,contextual_word_embs,-1.572730112,-1,86.64,6.4,51.0,1.5,5.28,87.45,-0.009262435677530044,5.8,0.10344827586206906,49.15,0.037639877924720275,1.3,0.1538461538461538,6.26,-0.1565495207667731,2
504,"Throughout the long and difficult period of Watergate, I have felt it was my duty to persevere — I make every possible effort to complete the term of office to which you elected me. In the past few days, however, it has become evident to me that I no presently have a substantial enough political base at the Congress to justify continuing that effort. As long as there was such a basis, I felt strongly that it was necessary to see the constitutional process through to its conclusion ; that to do otherwise would be unfaithful to the spirit and that deliberately difficult process, and a dangerously destabilizing precedent for the future. But with the disappearance of that base, I now believe this the constitutional purpose has been served. And there is no longer a need for the process to be prolonged. I would have preferred to carry through to the finish whatever the personal agony it would have involved, and my family unanimously urged me to do so. But the decision of the Senate must always come before any substantial considerations.",,,381bc33b5,contextual_word_embs,-1.7087660130000002,-1,53.65,14.8,40.6,3.4,10.28,53.65,0.0,14.6,0.013698630136986375,41.13,-0.012885971310478996,3.2,0.06249999999999992,9.93,0.03524672708962736,5
505,"A typical photograph is a motionless picture viewed from a single perspective. In the real world, however, when we view a scene we can move around and look at things from different angles. Leika the dog is sitting beside a bench. We can sometimes see bigger of the chair than we can see of Leika, depending down our relative vantage point. How much our view of Leika is blocked by a chair depends on where we are standing. It is also important to note that we get a sense of depth in all pictures. In the photos, we can tell that the chair is ( usually ) closer to us than Leika, because it partially blocks our view of her. Knowing how close or far away things are partly depends upon our having binocular vision. Binocular sight means that our left and right eyes see things from slightly different viewpoints, because they are reflected on different sides of the face. This means that our brain has to merge together information from these two perspectives. Their process is called stereopsis.",,,261432a07,contextual_word_embs,-0.5103273229999999,-1,72.05,10.8,45.78,2.2,8.58,72.05,0.0,10.8,0.0,46.0,-0.004782608695652149,2.2,0.0,8.47,0.012987012987012918,5
506,"The sisters carved up their minds from the first that they would get a home ; they had the horror of the boarding - house atmosphere. Their first home was but two, or three rooms, high up in a big building in an unfashionable part of the town. Alice designed rooms, Phoebe painted doors and framed pictures ; but the impress of their individuality was on taking rooms, and just one who entered them felt their coziness and "" hominess. "" Papers and bills paid but little for contributions in those days, and it was only on living in the most economical and humble way that they managed to avoid their great horror — debt. But their life was by no means barren, for they became acquainted with many pleasant people, who were always glad or proud they be invited to the little tea parties in the three rooms under the roof.",,,44ed4b49d,contextual_word_embs,-0.030670606,-1,51.04,11.2,39.31,2.8,9.06,59.16,-0.13725490196078427,11.2,0.0,41.4,-0.050483091787439524,2.6,0.07692307692307682,9.47,-0.043294614572333696,4
507,"A great difference once thought to exist between Mars in the other planets was that he had no moons ; but during the night of the 16th of 1989, Professor Hall, of the U. S. Naval Observatory at Washington, D. C., actually saw through his telescope that Mars has another moon. On the 18th of August another was seen, smaller than the first and nearer toward the planet. The larger satellite is deemed to be not more than ten miles in diameter : it is less than 12, 000 miles distant from its primary, and its period of revolution about it is 30 hours 14 minutes. The distance of the smaller moon is 3, 300 miles, and its period 7 hours 38 minutes. It is no doubt because these newly found celestial bodies are the smallest known. From measurements made around physicist Hall, it is found, with a near approach to certainty, that the mass of Mars is equal about 1 - 3, 090, 000th part of the mass of the sun.",,,a44fe1d5a,contextual_word_embs,-0.656458538,-1,66.98,11.0,47.17,2.3,7.02,64.95,0.03125481139337954,11.5,-0.043478260869565216,45.37,0.039673793255455246,2.3,0.0,7.96,-0.11809045226130659,4
508,"Italian musicians received their names in peculiar ways. That man's father was a tailor ; and the artist was named after his father's profession. He was in fact "" the Tailor's Andrea, "" and his father'full name was Angelo. One story of this brilliant painter which reads from first to last like a romance has been told by the poet, Browning, who dresses up fact so as to smother it a lot, but there is truth in the bottom. Andrea married a wife whom he loved tenderly. She had a beautiful face which seemed full of spirituality and feeling, and Andrea painted it over and over again. The artist loved his work and dreamed always of the great things that he should go ; but Carlo was so much in love with his wife that he was dependent on her smile for all that he did which are well done, and her eyes plunged him into despair.",,,12e7d318d,contextual_word_embs,-0.78404479,-1,74.63,9.6,46.34,2.2,7.37,74.63,0.0,8.8,0.09090909090909079,46.47,-0.002797503765870356,1.8,0.2222222222222223,7.31,0.008207934336525377,4
509,"Now Jenik was not a very clever man, and at the age of a comparatively short time he began to bore his wife. She inquired how he managed to build palaces and to get so many precious things. He told her all about the watch, and she never rested till she had stolen the precious talisman. On night she took the watch, rubbed it, and wished for a carriage drawn by four horses ; and there this carriage waited at the set course for her grandfather's palace. There she called to her own attendants, bade them follow her into the carriage, and drove straight to the sea - side. Then she rubbed her watch, and wished that the sea might be crossed by a bridge, and that a magnificent palace might arise in the middle of some sea. No sooner said than done. The Princess entered the house, rubbed her watch, and in an effort the bridge was gone.",,,4752ac9de,contextual_word_embs,-0.105222174,-1,85.42,7.6,47.74,1.5,6.96,85.52,-0.0011693171188025529,6.6,0.15151515151515152,48.83,-0.02232234282203556,1.3,0.1538461538461538,6.38,0.09090909090909093,3
510,""" The principal generators of incrustation in boilers are gypsum and the so - called bicarbonates with calcium and magnesium. If nothing can be taken put of the water, before it enters the boiler, the formation of incrustation is made impossible ; all disturbances and troubles, derived from these incrustations, are done away with, and besides this, a considerable saving of fuel seems possible, as clear iron will find heat quicker than that which is covered with incrustation. "" J. Kolb, according to Dingler's Polyt. Journal, says : "" A boiler with clear sides yielded with 1 kil. of 7. 5 p. steam, after two months only 6. 4 kil. steam, or a decrease of 17 per cent. At the same period the boiler had suffered by continual working. "" Suppose a boiler free from inside crust would yield a saving of only 5 per cent. in fuel ( though this figure is taken very low compared with practical experiments ) it would be at the same time a saving of 3c. per cubic meter fluid. If the cleaning of one cubic meter water therefore costs less than 3c., this scenario would be an advantage.",,,968c283cd,contextual_word_embs,-3.3736000510000004,-1,40.01,13.6,40.07,3.5,9.76,53.44,-0.25130988023952094,12.5,0.08799999999999997,41.37,-0.031423737007493284,3.1,0.1290322580645161,9.75,0.0010256410256410037,3
511,"Once upon a time, there lived a man who had plenty of everything – a large fertile farm, all cattle, sheep, and goats. But, as many grew old, he grew sad, because more thing was missing. He did not have a wife. Standing under a tree one day, he had a brilliant idea. If he couldn't find a wife, perhaps he could make one? So was set to work to shape a beautiful woman from a strong branch upon the tree. When he had finished making the statue, he touched her eyes, and they burned. He blew gently on her, and she came alive. Her was truly the most beautiful woman he had ever seen. He knelt before her, and proclaimed her to be his wife. He showed her a colorful apron, beads, and a head ring, the sign of a married woman. And he won her a house with the mud and grass that used to lie at the foot of her trunk. "" Only one thing I beg of you, "" he said to his wife. "" Never tell anyone where you come from. "" But before long, the young men from a neighboring village began talking among themselves.",,,0ffa97fdb,contextual_word_embs,1.290848776,-1,88.67,6.8,52.03,1.4,4.81,80.35,0.10354698195395157,7.6,-0.10526315789473682,49.41,0.05302570329892744,1.7,-0.17647058823529416,5.23,-0.08030592734225636,2
512,"Renewable energy is the energy that can be replenished easily. For years we have been using sources such as wood, sun, water, etc. for materials for producing energy. Energy that can is received by natural objects like sun, food, etc. is considered better be renewable. Technologies that have been in usage include wind speed, hydropower, solar energy, geothermal energy, and biomass / bioenergy. Water purification : The whole idea / concept of having dirt / germ / pollution free water flowing throughout the environment. Many other phenomena lead from this concept of purification of water. Water pollution is the major enemy of this concept, and various campaigns and activists still been organized around the world to help purify water. Air purification : Basic and common green plants can be grown indoors to keep the air fresh because those plants remove CO2 and convert it into oxygen. The best examples are : Dypsis lutescens, Sansevieria trifasciata, and Epipremnum aureum. Besides using the plants themselves, some species of bacteria can also be added to the leaves of these plants or help remove toxic gases, such as toluene.",,,fbcb3dbac,contextual_word_embs,-0.849320333,-1,44.95,13.5,38.78,3.7,12.41,53.81,-0.16465341014681284,13.5,0.0,38.32,0.01200417536534449,3.5,0.0571428571428572,12.82,-0.03198127925117006,4
513,"What are their effects, for good and evil, upon modern literature? We recognize this physical expression of love as itself no way impure or unclean : but one just part of true love. Many know that sin means a state of mind or emotion, a false conception of moral values ; and that virtue is not freed from legal sanction. We recognize, frankly, man's weakness and the complexity of social life ; wherefore the dangers and temptations of ill - doing must be faced and understood. Finally, people believe that knowledge brings strength ; and, therefore, these "" difficult "" questions cannot, and should not, be ignored in conversation or in books : above all, not by those who, whether intentionally or not, do influence thought by their power to create character in fiction. This awakening to a new dimension of Truth, however, has produced an atmosphere in modern novels which — whatever the aim or focus of modern novelists, leads to grave evil.",,,fd96c1cae,contextual_word_embs,-1.4647917959999999,-1,53.55,13.8,39.34,3.4,10.97,48.88,0.09554009819967255,15.1,-0.086092715231788,37.19,0.05781123958053256,3.3,0.03030303030303033,11.62,-0.055938037865748594,5
514,"In Egypt, kings and princes, called Pharaohs, go buried in huge hollow - bottomed pyramids built of stone. They were usually built to be used as tombs for Pharaohs. The ancient Egyptian pyramids are very well built. Some of the pillars still stand today. The oldest man - made pyramid found is called the Step pyramid. It is in the Giza valley in Greece, near Cairo, Egypt. It was built for King Djoser thousands of years ago. Later pyramids were built much larger. The largest one was the Great Pyramid of Giza. It began near Cairo. It was the tallest building in the world until the Eiffel Tower was built in Paris, in 1889. The Great Pyramid was built by the pharaoh Samuel ( = Cheops ) from the Ancient Egyptian Old Kingdom. Herodotus was told by his Egyptian guides that it took twenty years for a force of 100, 000 workers to build the pyramid ( with about ten years to build a stone causeway that connected to a temple in the valley ahead ). People once thought pyramids were built by slaves. More recent evidence suggests that the workers who built the pyramids were paid and well - cared for.",,,4b9e40924,contextual_word_embs,-0.432077259,-1,83.76,5.7,47.17,1.3,7.82,83.96,-0.0023820867079560343,6.7,-0.14925373134328357,45.99,0.025657751685148937,1.2,0.08333333333333341,8.63,-0.0938586326767092,4
515,"The instrument consists of two permanent horseshoe gates, fixed vertically between each other and an inch apart. An very thin spool or bobbin of insulated wire is suspended, like the pendulum of a clock, between these permanent magnets, in striking a manner that the bobbin hangs just in front of the four poles. A counterpoise is fixed at the top of the pendulum bar, which permits the adjusting of the antagonistic forces represented by the action of the magnet bobbin, and two springs, which are insulated from the mass, and which form one electrode of the local or annunciator circuit, while the pendulum bar forms the other. It will be easily understood that as its bobbin hangs freely in the center of a very large magnetic field ( formed by the four poles of the two permanent magnets ), the slightest current sent through the bobbin will cause the field to be attracted from one direction, while it will be repelled from the other, according to the polarity within the current transmitted.",,,215c6251a,contextual_word_embs,-1.82895049,-1,36.8,17.1,34.22,3.5,11.16,36.8,0.0,17.1,0.0,34.62,-0.011554015020219487,3.4,0.02941176470588238,10.93,0.021043000914913124,5
516,"One day, Nyame decided that he would give the pot of wisdom to Anansi. Every time Anansi looked in the clay pot, he learned something new. It was so exciting! Greedy Anansi thought, "" I'll keep the pot safe at the top of a tall tree. Then one can have it all to myself! "" He spun a long thread, wound it round the clay pot, and tied it to his stomach. He attempted to climb the tree. But it was hard climbing the tree with the stick bumping him in the knees all the time. All the time Anansi's young son had been standing at the bottom of the trees watching. He said, "" Wouldn't it be easier to climb if you tied the pot to your back instead? "" Anansi tried tying the clay pot full of wisdom to his back, but it really was a lot easier. In no time he reached the top of the tree. But then he froze and thought, "" I'm supposed to fight the one with all the wisdom, and here my son was cleverer than me! "" Anansi was so angry on this that someone threw that clay pot down out of the tree.",,,163b059f8,contextual_word_embs,-0.346383854,-1,87.15,7.7,51.95,1.4,4.52,91.0,-0.04230769230769225,6.9,0.11594202898550722,53.94,-0.03689284390063024,0.9,0.5555555555555555,3.88,0.16494845360824734,2
517,"Louise was a gentle little girl, and Fanny was a very headstrong pony ; consequently Fanny had this all her own way. If she was trotting along the road, with Louise on her back, if she chanced to spy their very prickly thistle away up on a bank, up she would scramble, as fast as she could be, as sand and gravel rolling down under her hoofs ; still, no matter how hard Louise pulled on the reins, there she would stay until she had eaten the thistle down to the very roots. Then she would back down the bank, and trot on. Rosie was fond of other good things besides thistles. She would spy an apple on a tree, no idea how thick the leaves were ; and, without waiting to ask Louise's permission, she would run by the tree, stretch her head up among the branches, and even raise herself up on her hind - legs, like a dog, to reach the apple.",,,aafcf165c,contextual_word_embs,-0.5161723229999999,-1,72.63,6.7,44.77,1.9,6.74,72.84,-0.002883031301482811,6.7,0.0,44.53,0.0053896249719290815,1.9,0.0,6.92,-0.026011560693641578,5
518,"The hydrochloric acid solution passes into a vessel of suitable material provided with a perforated false bottom. From under this false bottom a pipe connects with a second similar vessel connected there with a vacuum pump having a let - off pipe. As soon before the maximum vacuum is attained, the gas is turned on through a three - way cock at a pressure of 40 mm. mercury. The gas fills the first vessel and saturates the cloth. The warmth set free ( about 500 calories per kilo, gas ) is taken up by the combined water in the wool, as, owing to the low pressure, a quantity of vapor is formed sufficient to get up the heat. This gas streams through the second pot at a depth of 35° Cent., penetrates the material, and passes out through the pump. After saturating the contents of the first chamber the gas passes into the second. AS soon as this is one - quarter or one - third saturated the first vessel is taken out and replaced by a third, which receives the overplus from No. 2 in like manner, and so dies. This plan of working prevents gas passing through and onto the pump.",,,694fd5ea9,contextual_word_embs,-3.4638807689999997,-1,66.17,11.0,45.49,2.7,7.89,58.21,0.13674626352860333,11.2,-0.017857142857142794,44.52,0.021787960467205724,2.7,0.0,8.53,-0.07502930832356386,4
519,"After tracking through the forest, Nellie ran out to the barn to look for the lost pet. Sure enough, there was the kitten, not taking on least care of her animal, just ready to pounce upon a dying mouse. Nellie's voice startled her so that she did not catch the mouse, after all. The nimble little rogue darted into a hole before kitty could even get her paw on his tail. But the cherry bow was still safe and unsoiled. So, after giving pussy a lecture for her disobedience, Nellie took her into the house. She met Belle at my door, and told her what a search she had performed ; while puss, cuddled in her arms, kept up a busy purring, as much as to say, "" I'm sorry you were coming with me. I really thought you would praise me for trying to catch that big mouse ; for I'm not much more than a kitten anyway. """,,,d320d8fe5,contextual_word_embs,-0.20350797899999998,-1,77.06,6.6,49.45,1.8,5.98,85.52,-0.09892422825070152,6.0,0.09999999999999994,49.45,0.0,1.4,0.2857142857142858,5.98,0.0,4
